crime_id,location,date,time,crime_type,gender,role,age,weather,severity,latitude,longitude
CR00001,Kigali CBD,2023-04-17,20:42,Assault,Female,Victim,37,Stormy,6.75,-1.9493794718553066,30.064864775855934
CR00002,Kacyiru,2020-02-12,14:09,Robbery,Male,Victim,47,Cloudy,5.94,-1.9253653911694177,30.067022083627595
CR00003,Gisozi,2024-04-15,17:08,Theft,Other,Suspect,63,Clear,3.32,-1.9422653781250618,30.06604102160645
CR00004,Jali,2023-10-08,12:41,Robbery,Male,Suspect,74,Clear,6.15,-1.893305516155776,30.098843839757908
CR00005,Nduba,2024-08-09,23:47,Assault,Male,Suspect,54,Cloudy,7.85,-1.9122863861686432,30.072193311069014
CR00006,Nduba,2021-07-05,12:32,Robbery,Male,Victim,73,Cloudy,6.55,-1.9092410243200195,30.077165903926222
CR00007,Rusororo,2023-03-26,02:13,Assault,Other,Suspect,51,Cloudy,7.05,-1.9097867440590626,30.119568427599802
CR00008,Kacyiru,2020-03-23,19:09,Assault,Female,Victim,63,Clear,6.26,-1.9279562506625274,30.071181135292225
CR00009,Nyarugenge,2024-04-11,22:53,Burglary,Other,Suspect,76,Clear,4.65,-1.9630615693858253,30.05897798216356
CR00010,Kimisagara,2024-03-28,10:49,Theft,Male,Victim,24,Cloudy,3.91,-1.9677818335470532,30.03792992862907
CR00011,Kimironko,2020-12-24,04:11,Assault,Other,Victim,57,Stormy,6.7,-1.9190745719837117,30.123019132393857
CR00012,Rwezamenyo,2022-08-21,10:26,Theft,Male,Victim,32,Cloudy,3.23,-1.9678510608461228,30.0414401772948
CR00013,Kigarama,2022-11-28,19:39,Robbery,Female,Suspect,75,Clear,5.81,-1.9710069234716163,30.101874889891825
CR00014,Remera,2023-08-27,15:19,Robbery,Male,Suspect,40,Cloudy,5.09,-1.9439246949625595,30.102360082942536
CR00015,Gisozi,2022-06-24,23:28,Assault,Female,Suspect,34,Clear,7.7,-1.9264028463448388,30.06572239755415
CR00016,Kimironko,2021-07-23,15:10,Theft,Male,Suspect,39,Clear,2.32,-1.9191140994028821,30.123762866601346
CR00017,Kibagabaga,2021-01-06,01:30,Assault,Male,Suspect,15,Stormy,6.19,-1.9311848499904167,30.08400707225127
CR00018,Nduba,2023-04-13,23:54,Assault,Other,Suspect,16,Rainy,6.21,-1.9045318200870271,30.065026584820203
CR00019,Nyamirambo,2022-06-11,00:57,Burglary,Female,Victim,79,Clear,5.87,-1.9898357230099657,30.053115147570985
CR00020,Muhima,2023-07-24,18:14,Robbery,Male,Suspect,62,Clear,5.95,-1.9536462360529832,30.05823210701477
CR00021,Gisozi,2024-07-25,03:32,Theft,Female,Victim,77,Stormy,3.52,-1.9423710389849664,30.08146104304991
CR00022,Kimisagara,2022-10-04,07:01,Robbery,Other,Suspect,66,Clear,6.96,-1.981694036287512,30.044262345342933
CR00023,Kibagabaga,2020-07-05,06:09,Burglary,Female,Suspect,68,Rainy,5.62,-1.9198333563758263,30.103185515056076
CR00024,Kigali CBD,2022-08-20,14:08,Vandalism,Other,Victim,65,Rainy,2.47,-1.9582714897878155,30.049184444540018
